cmpdname,isosmiles
"2,3-Dihydroxybenzoic acid",C1=CC(=C(C(=C1)O)O)C(=O)O
3-Methyl-2-oxobutanoic acid,CC(C)C(=O)C(=O)O
3-Hydroxyisobutyric acid,CC(CO)C(=O)O
3-Hydroxybenzyl alcohol,C1=CC(=CC(=C1)O)CO
4-Hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O
4-Hydroxyphenylacetic acid,C1=CC(=CC=C1CC(=O)O)O
Acetic Acid,CC(=O)O
Acetaldehyde,CC=O
Acetoin,CC(C(=O)C)O
Acetone,CC(=O)C
Benzaldehyde,C1=CC=C(C=C1)C=O
Benzoic Acid,C1=CC=C(C=C1)C(=O)O
Benzyl Alcohol,C1=CC=C(C=C1)CO
Butyraldehyde,CCCC=O
"2,3-Butanediol",CC(C(C)O)O
1-Butanol,CCCCO
Butyric Acid,CCCC(=O)O
Carbon Dioxide,C(=O)=O
Formic Acid,C(=O)O
Methane,C
"2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
Hydrochloric Acid,Cl
o-Cresol,CC1=CC=CC=C1O
Salicylic Acid,C1=CC=C(C(=C1)C(=O)O)O
Sym-homospermidine,C(CCNCCCCN)CN
Gallic Acid,C1=C(C=C(C(=C1O)O)O)C(=O)O
Octanoic acid,CCCCCCCC(=O)O
Indole-3-acetamide,C1=CC=C2C(=C1)C(=CN2)CC(=O)N
Octanal,CCCCCCCC=O
Guaiacol,COC1=CC=CC=C1O
Propionaldehyde,CCC=O
Cytosar,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
Lactic Acid,CC(C(=O)O)O
"2,3-Butanedione",CC(=O)C(=O)C
Glycine,C(C(=O)O)N
Glycerol,C(C(CO)O)O
omega-Formyl histamine,C1=C(NC=N1)CC(C=O)N
Hydrogen,[HH]
Indole,C1=CC=C2C(=C1)C=CN2
Malonic acid,C(C(=O)O)C(=O)O
Methanethiol,CS
Methylglyoxal,CC(=O)C=O
"5,7-Dihydroxy-2-(4-hydroxyphenyl)chroman-4-one",C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
Nitric Acid,[N+](=O)(O)[O-]
1-Octanol,CCCCCCCCO
Water,O
Phenol,C1=CC=C(C=C1)O
Phenylacetaldehyde,C1=CC=C(C=C1)CC=O
