Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL271139,,0,203.25,0,1.71,"Table S1, R2C1",c1nc(NC2CCCC2)c2nc[nH]c2n1,IC50,'=',18000,nM,4.75,,,UO_0000065,23.34,0.43,3.03,7.14,0,CHEMBL935260,Inhibition of PAK1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141629,1,Scientific Literature,J. Med. Chem.,2008,None,
CHEMBL271138,,0,205.22,0,0.19,"Table S1, R3C1",c1nc(N2CCOCC2)c2nc[nH]c2n1,IC50,'=',18000,nM,4.75,,,UO_0000065,23.12,0.43,4.55,7.09,0,CHEMBL935260,Inhibition of PAK1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141629,1,Scientific Literature,J. Med. Chem.,2008,None,
CHEMBL259040,,0,217.28,0,2.1,"Table S1, R6C1",c1nc2cnc(NC3CCCCC3)nc2[nH]1,IC50,'=',31000,nM,4.51,,,UO_0000065,20.75,0.38,2.41,6.78,0,CHEMBL935260,Inhibition of PAK1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141629,1,Scientific Literature,J. Med. Chem.,2008,None,
CHEMBL1090360,,0,587.71,2,6.28,26,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,IC50,'=',531,nM,6.28,,,UO_0000065,10.68,0.2,-0.01,6.49,0,CHEMBL1109683,Inhibition of PAK1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156213,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL2403079,,0,507.44,1,4.86,25,COc1cc(Nc2ncc(Br)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)[C@@H](C)C1,IC50,'=',65,nM,7.19,,,UO_0000065,14.16,0.3,2.33,9.3,0,CHEMBL2404585,Inhibition of human recombinant PAK1 using MBP as substrate by scintillation counting analysis in presence of [gamma-32P]ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2401639,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,None,
CHEMBL2403070,,0,491,0,4.54,16,CCOC(=O)c1cc(Nc2ncc(Cl)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)CC1,IC50,'=',289,nM,6.54,,,UO_0000065,13.32,0.26,2,6.93,0,CHEMBL2404585,Inhibition of human recombinant PAK1 using MBP as substrate by scintillation counting analysis in presence of [gamma-32P]ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2401639,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,None,
CHEMBL3980696,,0,522,1,3.51,7,CN(c1cc(CO)ccc1Cl)c1nc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)ncc1F,IC50,'=',9.6,nM,8.02,,,UO_0000065,15.36,0.31,4.51,7.43,0,CHEMBL3865529,Inhibition of PAK1 (unknown origin) by ATP-kinaseGlo assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,None,
CHEMBL2403075,,0,500.01,2,5.32,21,Cc1cnc(-c2cc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)ccc2N2CCN(C)CC2)o1,IC50,'=',636,nM,6.2,,,UO_0000065,12.39,0.24,0.88,6.58,0,CHEMBL2404585,Inhibition of human recombinant PAK1 using MBP as substrate by scintillation counting analysis in presence of [gamma-32P]ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2401639,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,None,
CHEMBL2403059,,0,464.96,0,4.18,5,COc1cc(C#N)cc(-c2nc(Nc3ccc(N4CCN(C)CC4)c(OC)c3)ncc2Cl)c1,IC50,'=',487,nM,6.31,,,UO_0000065,13.58,0.26,2.13,7.29,0,CHEMBL2404585,Inhibition of human recombinant PAK1 using MBP as substrate by scintillation counting analysis in presence of [gamma-32P]ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2401639,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,None,
CHEMBL3580962,,0,327.44,0,2.75,17,N[C@H]1CC[C@H](CNc2nccc(Nc3cc(C4CC4)[nH]n3)n2)CC1,IC50,'=',2200,nM,5.66,,,UO_0000065,17.28,0.32,2.91,5.41,0,CHEMBL3584418,Inhibition of PAK1 in human EBC1 cells assessed as inhibition of MEK phosphorylation at S298 after 2 hrs by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,EBC1,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3580661,1,Scientific Literature,J. Med. Chem.,2015,None,
